p0	p1	p2	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106	s107	s108	s109	s110	s111	s112	s113	s114	s115	s116	s117	s118	s119	s120	s121	s122	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s135	s136	s137	s138	s139	s140	s141	s142	s143	s144	s145	s146	s147	s148	s149	s150	s151	s152	s153	s154	s155	s156	s157	s158	s159	s160	s161	s162	s163	s164	s165	s166	s167	s168	s169	s170	s171	s172	s173	s174	s175	s176	s177	s178	s179	s180	s181	s182	s183	s184	s185	s186	s187	s188	s189	s190	s191	s192	s193	s194	s195	s196	s197	s198	s199	s200	s201	s202	s203	s204	s205	s206	s207	s208	s209	s210	s211	s212	s213	s214	s215	s216	s217	s218	s219	s220	s221	s222	s223	s224	s225	s226	s227	s228	s229	s230	s231	s232	s233	s234	s235	s236	s237	s238	s239	s240	s241	s242	s243	s244	s245	s246	s247	s248	s249	s250	s251	s252	s253	s254	s255	s256	s257	s258	s259	s260	s261	s262	s263	s264	s265	s266	s267	s268	s269	s270	s271	s272	s273	s274	s275	s276	s277	s278	s279	s280	s281	s282	s283	s284	s285	s286	s287	s288	s289	s290	s291	s292	s293	s294	s295	s296	s297	s298	s299	s300	s301	s302	s303	s304	s305	s306	s307	s308	s309	s310	s311	s312	s313	s314	s315	s316	s317	s318	s319	s320	s321	s322	s323	s324	s325	s326	s327	s328	s329	s330	s331	s332	s333	s334	s335	s336	s337	s338	s339	s340	s341	s342	s343	s344	s345	s346	s347	s348	s349	s350	s351	s352	s353	s354	s355	s356	s357	s358	s359	
			*CCC	Max	Align
ape-lvaba$$$p0$s23	apelvaba	0.667	0	0	1
	aplvaba	0.333	1	1	0
ape-rtaba$$$p0$s24	apertaba	0.667	0	0	1
	aprtaba	0.333	1	1	0
ape-rsaba$$$p0$s25	apersaba	0.667	0	0	1
	aprsaba	0.333	1	1	0
ape-rnaba$$$p0$s26	apernaba	0.667	0	0	1
	aprnaba	0.333	1	1	0
ape-rlaba$$$p0$s27	aperlaba	0.667	0	0	1
	aprlaba	0.333	1	1	0
ape-rraba$$$p0$s28	aperraba	0.667	0	0	1
	aprraba	0.333	1	1	0
ape-rvaba$$$p0$s29	apervaba	0.667	0	0	1
	aprvaba	0.333	1	1	0
ape-vtaba$$$p0$s30	apevtaba	0.667	0	0	1
	apvtaba	0.333	1	1	0
ape-vsaba$$$p0$s31	apevsaba	0.667	0	0	1
	apvsaba	0.333	1	1	0
ape-vnaba$$$p0$s32	apevnaba	0.667	0	0	1
	apvnaba	0.333	1	1	0
ape-vlaba$$$p0$s33	apevlaba	0.667	0	0	1
	apvlaba	0.333	1	1	0
ape-vraba$$$p0$s34	apevraba	0.667	0	0	1
	apvraba	0.333	1	1	0
ape-vvaba$$$p0$s35	apevvaba	0.667	0	0	1
	apvvaba	0.333	1	1	0
ape-ttaba$$$p0$s36	apettaba	0.667	0	0	1
	apttaba	0.333	1	1	0
ape-tsaba$$$p0$s37	apetsaba	0.667	0	0	1
	aptsaba	0.333	1	1	0
ape-tnaba$$$p0$s38	apetnaba	0.667	0	0	1
	aptnaba	0.333	1	1	0
ape-tlaba$$$p0$s39	apetlaba	0.667	0	0	1
	aptlaba	0.333	1	1	0
ape-traba$$$p0$s40	apetraba	0.667	0	0	1
	aptraba	0.333	1	1	0
ape-tvaba$$$p0$s41	apetvaba	0.667	0	0	1
	aptvaba	0.333	1	1	0
ape-staba$$$p0$s42	apestaba	0.667	0	0	1
	apstaba	0.333	1	1	0
ape-ssaba$$$p0$s43	apessaba	0.667	0	0	1
	apssaba	0.333	1	1	0
ape-snaba$$$p0$s44	apesnaba	0.667	0	0	1
	apsnaba	0.333	1	1	0
ape-slaba$$$p0$s45	apeslaba	0.667	0	0	1
	apslaba	0.333	1	1	0
ape-sraba$$$p0$s46	apesraba	0.667	0	0	1
	apsraba	0.333	1	1	0
ape-svaba$$$p0$s47	apesvaba	0.667	0	0	1
	apsvaba	0.333	1	1	0
ape-ntaba$$$p0$s48	apentaba	0.667	0	0	1
	apntaba	0.333	1	1	0
ape-nsaba$$$p0$s49	apensaba	0.667	0	0	1
	apnsaba	0.333	1	1	0
ape-nnaba$$$p0$s50	apennaba	0.667	0	0	1
	apnnaba	0.333	1	1	0
ape-nlaba$$$p0$s51	apenlaba	0.667	0	0	1
	apnlaba	0.333	1	1	0
ape-nraba$$$p0$s52	apenraba	0.667	0	0	1
	apnraba	0.333	1	1	0
ape-nvaba$$$p0$s53	apenvaba	0.667	0	0	1
	apnvaba	0.333	1	1	0
ape-ltaba$$$p0$s54	apeltaba	0.667	0	0	1
	apltaba	0.333	1	1	0
ape-lsaba$$$p0$s55	apelsaba	0.667	0	0	1
	aplsaba	0.333	1	1	0
ape-lnaba$$$p0$s56	apelnaba	0.667	0	0	1
	aplnaba	0.333	1	1	0
ape-llaba$$$p0$s57	apellaba	0.667	0	0	1
	apllaba	0.333	1	1	0
ape-lraba$$$p0$s58	apelraba	0.667	0	0	1
	aplraba	0.333	1	1	0
ape-lvaba$$$p0$s59	apelvaba	0.667	0	0	1
	aplvaba	0.333	1	1	0
ape-rtaba$$$p0$s60	apertaba	0.667	0	0	1
	aprtaba	0.333	1	1	0
ape-rsaba$$$p0$s61	apersaba	0.667	0	0	1
	aprsaba	0.333	1	1	0
ape-rnaba$$$p0$s62	apernaba	0.667	0	0	1
	aprnaba	0.333	1	1	0
ape-rlaba$$$p0$s63	aperlaba	0.667	0	0	1
	aprlaba	0.333	1	1	0
ape-rraba$$$p0$s64	aperraba	0.667	0	0	1
	aprraba	0.333	1	1	0
ape-rvaba$$$p0$s65	apervaba	0.667	0	0	1
	aprvaba	0.333	1	1	0
ape-vtaba$$$p0$s66	apevtaba	0.667	0	0	1
	apvtaba	0.333	1	1	0
ape-vsaba$$$p0$s67	apevsaba	0.667	0	0	1
	apvsaba	0.333	1	1	0
ape-vnaba$$$p0$s68	apevnaba	0.667	0	0	1
	apvnaba	0.333	1	1	0
ape-vlaba$$$p0$s69	apevlaba	0.667	0	0	1
	apvlaba	0.333	1	1	0
ape-vraba$$$p0$s70	apevraba	0.667	0	0	1
	apvraba	0.333	1	1	0
ape-vvaba$$$p0$s71	apevvaba	0.667	0	0	1
	apvvaba	0.333	1	1	0
ape-ttaba$$$p0$s72	apettaba	0.667	0	0	1
	apttaba	0.333	1	1	0
ape-tsaba$$$p0$s73	apetsaba	0.667	0	0	1
	aptsaba	0.333	1	1	0
ape-tnaba$$$p0$s74	apetnaba	0.667	0	0	1
	aptnaba	0.333	1	1	0
ape-tlaba$$$p0$s75	apetlaba	0.667	0	0	1
	aptlaba	0.333	1	1	0
ape-traba$$$p0$s76	apetraba	0.667	0	0	1
	aptraba	0.333	1	1	0
ape-tvaba$$$p0$s77	apetvaba	0.667	0	0	1
	aptvaba	0.333	1	1	0
ape-staba$$$p0$s78	apestaba	0.667	0	0	1
	apstaba	0.333	1	1	0
ape-ssaba$$$p0$s79	apessaba	0.667	0	0	1
	apssaba	0.333	1	1	0
ape-snaba$$$p0$s80	apesnaba	0.667	0	0	1
	apsnaba	0.333	1	1	0
ape-slaba$$$p0$s81	apeslaba	0.667	0	0	1
	apslaba	0.333	1	1	0
ape-sraba$$$p0$s82	apesraba	0.667	0	0	1
	apsraba	0.333	1	1	0
ape-svaba$$$p0$s83	apesvaba	0.667	0	0	1
	apsvaba	0.333	1	1	0
ape-ntaba$$$p0$s84	apentaba	0.667	0	0	1
	apntaba	0.333	1	1	0
ape-nsaba$$$p0$s85	apensaba	0.667	0	0	1
	apnsaba	0.333	1	1	0
ape-nnaba$$$p0$s86	apennaba	0.667	0	0	1
	apnnaba	0.333	1	1	0
ape-nlaba$$$p0$s87	apenlaba	0.667	0	0	1
	apnlaba	0.333	1	1	0
ape-nraba$$$p0$s88	apenraba	0.667	0	0	1
	apnraba	0.333	1	1	0
ape-nvaba$$$p0$s89	apenvaba	0.667	0	0	1
	apnvaba	0.333	1	1	0
ape-ltaba$$$p0$s90	apeltaba	0.667	0	0	1
	apltaba	0.333	1	1	0
ape-lsaba$$$p0$s91	apelsaba	0.667	0	0	1
	aplsaba	0.333	1	1	0
ape-lnaba$$$p0$s92	apelnaba	0.667	0	0	1
	aplnaba	0.333	1	1	0
ape-llaba$$$p0$s93	apellaba	0.667	0	0	1
	apllaba	0.333	1	1	0
ape-lraba$$$p0$s94	apelraba	0.667	0	0	1
	aplraba	0.333	1	1	0
ape-lvaba$$$p0$s95	apelvaba	0.667	0	0	1
	aplvaba	0.333	1	1	0
ape-rtaba$$$p0$s96	apertaba	0.667	0	0	1
	aprtaba	0.333	1	1	0
ape-rsaba$$$p0$s97	apersaba	0.667	0	0	1
	aprsaba	0.333	1	1	0
ape-rnaba$$$p0$s98	apernaba	0.667	0	0	1
	aprnaba	0.333	1	1	0
ape-rlaba$$$p0$s99	aperlaba	0.667	0	0	1
	aprlaba	0.333	1	1	0
ape-rraba$$$p0$s100	aperraba	0.667	0	0	1
	aprraba	0.333	1	1	0
ape-rvaba$$$p0$s101	apervaba	0.667	0	0	1
	aprvaba	0.333	1	1	0
ape-vtaba$$$p0$s102	apevtaba	0.667	0	0	1
	apvtaba	0.333	1	1	0
ape-vsaba$$$p0$s103	apevsaba	0.667	0	0	1
	apvsaba	0.333	1	1	0
ape-vnaba$$$p0$s104	apevnaba	0.667	0	0	1
	apvnaba	0.333	1	1	0
ape-vlaba$$$p0$s105	apevlaba	0.667	0	0	1
	apvlaba	0.333	1	1	0
ape-vraba$$$p0$s106	apevraba	0.667	0	0	1
	apvraba	0.333	1	1	0
ape-vvaba$$$p0$s107	apevvaba	0.667	0	0	1
	apvvaba	0.333	1	1	0
ape-ttaba$$$p0$s108	apettaba	0.667	0	0	1
	apttaba	0.333	1	1	0
ape-tsaba$$$p0$s109	apetsaba	0.667	0	0	1
	aptsaba	0.333	1	1	0
ape-tnaba$$$p0$s110	apetnaba	0.667	0	0	1
	aptnaba	0.333	1	1	0
ape-tlaba$$$p0$s111	apetlaba	0.667	0	0	1
	aptlaba	0.333	1	1	0
ape-traba$$$p0$s112	apetraba	0.667	0	0	1
	aptraba	0.333	1	1	0
ape-tvaba$$$p0$s113	apetvaba	0.667	0	0	1
	aptvaba	0.333	1	1	0
ape-staba$$$p0$s114	apestaba	0.667	0	0	1
	apstaba	0.333	1	1	0
ape-ssaba$$$p0$s115	apessaba	0.667	0	0	1
	apssaba	0.333	1	1	0
ape-snaba$$$p0$s116	apesnaba	0.667	0	0	1
	apsnaba	0.333	1	1	0
ape-slaba$$$p0$s117	apeslaba	0.667	0	0	1
	apslaba	0.333	1	1	0
ape-sraba$$$p0$s118	apesraba	0.667	0	0	1
	apsraba	0.333	1	1	0
ape-svaba$$$p0$s119	apesvaba	0.667	0	0	1
	apsvaba	0.333	1	1	0
ape-ntaba$$$p0$s120	apentaba	0.667	0	0	1
	apntaba	0.333	1	1	0
ape-nsaba$$$p0$s121	apensaba	0.667	0	0	1
	apnsaba	0.333	1	1	0
ape-nnaba$$$p0$s122	apennaba	0.667	0	0	1
	apnnaba	0.333	1	1	0
ape-nlaba$$$p0$s123	apenlaba	0.667	0	0	1
	apnlaba	0.333	1	1	0
ape-nraba$$$p0$s124	apenraba	0.667	0	0	1
	apnraba	0.333	1	1	0
ape-nvaba$$$p0$s125	apenvaba	0.667	0	0	1
	apnvaba	0.333	1	1	0
ape-ltaba$$$p0$s126	apeltaba	0.667	0	0	1
	apltaba	0.333	1	1	0
ape-lsaba$$$p0$s127	apelsaba	0.667	0	0	1
	aplsaba	0.333	1	1	0
ape-lnaba$$$p0$s128	apelnaba	0.667	0	0	1
	aplnaba	0.333	1	1	0
ape-llaba$$$p0$s129	apellaba	0.667	0	0	1
	apllaba	0.333	1	1	0
ape-lraba$$$p0$s130	apelraba	0.667	0	0	1
	aplraba	0.333	1	1	0
ape-lvaba$$$p0$s131	apelvaba	0.667	0	0	1
	aplvaba	0.333	1	1	0
ape-rtaba$$$p0$s132	apertaba	0.667	0	0	1
	aprtaba	0.333	1	1	0
ape-rsaba$$$p0$s133	apersaba	0.667	0	0	1
	aprsaba	0.333	1	1	0
ape-rnaba$$$p0$s134	apernaba	0.667	0	0	1
	aprnaba	0.333	1	1	0
ape-rlaba$$$p0$s135	aperlaba	0.667	0	0	1
	aprlaba	0.333	1	1	0
ape-rraba$$$p0$s136	aperraba	0.667	0	0	1
	aprraba	0.333	1	1	0
ape-rvaba$$$p0$s137	apervaba	0.667	0	0	1
	aprvaba	0.333	1	1	0
ape-vtaba$$$p0$s138	apevtaba	0.667	0	0	1
	apvtaba	0.333	1	1	0
ape-vsaba$$$p0$s139	apevsaba	0.667	0	0	1
	apvsaba	0.333	1	1	0
ape-vnaba$$$p0$s140	apevnaba	0.667	0	0	1
	apvnaba	0.333	1	1	0
ape-vlaba$$$p0$s141	apevlaba	0.667	0	0	1
	apvlaba	0.333	1	1	0
ape-vraba$$$p0$s142	apevraba	0.667	0	0	1
	apvraba	0.333	1	1	0
ape-vvaba$$$p0$s143	apevvaba	0.667	0	0	1
	apvvaba	0.333	1	1	0
ape-ttaba$$$p0$s144	apettaba	0.667	0	0	1
	apttaba	0.333	1	1	0
ape-tsaba$$$p0$s145	apetsaba	0.667	0	0	1
	aptsaba	0.333	1	1	0
ape-tnaba$$$p0$s146	apetnaba	0.667	0	0	1
	aptnaba	0.333	1	1	0
ape-tlaba$$$p0$s147	apetlaba	0.667	0	0	1
	aptlaba	0.333	1	1	0
ape-traba$$$p0$s148	apetraba	0.667	0	0	1
	aptraba	0.333	1	1	0
ape-tvaba$$$p0$s149	apetvaba	0.667	0	0	1
	aptvaba	0.333	1	1	0
ape-staba$$$p0$s150	apestaba	0.667	0	0	1
	apstaba	0.333	1	1	0
ape-ssaba$$$p0$s151	apessaba	0.667	0	0	1
	apssaba	0.333	1	1	0
ape-snaba$$$p0$s152	apesnaba	0.667	0	0	1
	apsnaba	0.333	1	1	0
ape-slaba$$$p0$s153	apeslaba	0.667	0	0	1
	apslaba	0.333	1	1	0
ape-sraba$$$p0$s154	apesraba	0.667	0	0	1
	apsraba	0.333	1	1	0
ape-svaba$$$p0$s155	apesvaba	0.667	0	0	1
	apsvaba	0.333	1	1	0
ape-ntaba$$$p0$s156	apentaba	0.667	0	0	1
	apntaba	0.333	1	1	0
ape-nsaba$$$p0$s157	apensaba	0.667	0	0	1
	apnsaba	0.333	1	1	0
ape-nnaba$$$p0$s158	apennaba	0.667	0	0	1
	apnnaba	0.333	1	1	0
ape-nlaba$$$p0$s159	apenlaba	0.667	0	0	1
	apnlaba	0.333	1	1	0
ape-nraba$$$p0$s160	apenraba	0.667	0	0	1
	apnraba	0.333	1	1	0
ape-nvaba$$$p0$s161	apenvaba	0.667	0	0	1
	apnvaba	0.333	1	1	0
ape-ltaba$$$p0$s162	apeltaba	0.667	0	0	1
	apltaba	0.333	1	1	0
ape-lsaba$$$p0$s163	apelsaba	0.667	0	0	1
	aplsaba	0.333	1	1	0
ape-lnaba$$$p0$s164	apelnaba	0.667	0	0	1
	aplnaba	0.333	1	1	0
ape-llaba$$$p0$s165	apellaba	0.667	0	0	1
	apllaba	0.333	1	1	0
ape-lraba$$$p0$s166	apelraba	0.667	0	0	1
	aplraba	0.333	1	1	0
ape-lvaba$$$p0$s167	apelvaba	0.667	0	0	1
	aplvaba	0.333	1	1	0
ape-rtaba$$$p0$s168	apertaba	0.667	0	0	1
	aprtaba	0.333	1	1	0
ape-rsaba$$$p0$s169	apersaba	0.667	0	0	1
	aprsaba	0.333	1	1	0
ape-rnaba$$$p0$s170	apernaba	0.667	0	0	1
	aprnaba	0.333	1	1	0
ape-rlaba$$$p0$s171	aperlaba	0.667	0	0	1
	aprlaba	0.333	1	1	0
ape-rraba$$$p0$s172	aperraba	0.667	0	0	1
	aprraba	0.333	1	1	0
ape-rvaba$$$p0$s173	apervaba	0.667	0	0	1
	aprvaba	0.333	1	1	0
ape-vtaba$$$p0$s174	apevtaba	0.667	0	0	1
	apvtaba	0.333	1	1	0
ape-vsaba$$$p0$s175	apevsaba	0.667	0	0	1
	apvsaba	0.333	1	1	0
ape-vnaba$$$p0$s176	apevnaba	0.667	0	0	1
	apvnaba	0.333	1	1	0
ape-vlaba$$$p0$s177	apevlaba	0.667	0	0	1
	apvlaba	0.333	1	1	0
ape-vraba$$$p0$s178	apevraba	0.667	0	0	1
	apvraba	0.333	1	1	0
ape-vvaba$$$p0$s179	apevvaba	0.667	0	0	1
	apvvaba	0.333	1	1	0
ape-ttaba$$$p0$s180	apettaba	0.667	0	0	1
	apttaba	0.333	1	1	0
ape-tsaba$$$p0$s181	apetsaba	0.667	0	0	1
	aptsaba	0.333	1	1	0
ape-tnaba$$$p0$s182	apetnaba	0.667	0	0	1
	aptnaba	0.333	1	1	0
ape-tlaba$$$p0$s183	apetlaba	0.667	0	0	1
	aptlaba	0.333	1	1	0
ape-traba$$$p0$s184	apetraba	0.667	0	0	1
	aptraba	0.333	1	1	0
ape-tvaba$$$p0$s185	apetvaba	0.667	0	0	1
	aptvaba	0.333	1	1	0
ape-staba$$$p0$s186	apestaba	0.667	0	0	1
	apstaba	0.333	1	1	0
ape-ssaba$$$p0$s187	apessaba	0.667	0	0	1
	apssaba	0.333	1	1	0
ape-snaba$$$p0$s188	apesnaba	0.667	0	0	1
	apsnaba	0.333	1	1	0
ape-slaba$$$p0$s189	apeslaba	0.667	0	0	1
	apslaba	0.333	1	1	0
ape-sraba$$$p0$s190	apesraba	0.667	0	0	1
	apsraba	0.333	1	1	0
ape-svaba$$$p0$s191	apesvaba	0.667	0	0	1
	apsvaba	0.333	1	1	0
ape-ntaba$$$p0$s192	apentaba	0.667	0	0	1
	apntaba	0.333	1	1	0
ape-nsaba$$$p0$s193	apensaba	0.667	0	0	1
	apnsaba	0.333	1	1	0
ape-nnaba$$$p0$s194	apennaba	0.667	0	0	1
	apnnaba	0.333	1	1	0
ape-nlaba$$$p0$s195	apenlaba	0.667	0	0	1
	apnlaba	0.333	1	1	0
ape-nraba$$$p0$s196	apenraba	0.667	0	0	1
	apnraba	0.333	1	1	0
ape-nvaba$$$p0$s197	apenvaba	0.667	0	0	1
	apnvaba	0.333	1	1	0
ape-ltaba$$$p0$s198	apeltaba	0.667	0	0	1
	apltaba	0.333	1	1	0
ape-lsaba$$$p0$s199	apelsaba	0.667	0	0	1
	aplsaba	0.333	1	1	0
ape-lnaba$$$p0$s200	apelnaba	0.667	0	0	1
	aplnaba	0.333	1	1	0
ape-llaba$$$p0$s201	apellaba	0.667	0	0	1
	apllaba	0.333	1	1	0
ape-lraba$$$p0$s202	apelraba	0.667	0	0	1
	aplraba	0.333	1	1	0
ape-lvaba$$$p0$s203	apelvaba	0.667	0	0	1
	aplvaba	0.333	1	1	0
ape-rtaba$$$p0$s204	apertaba	0.667	0	0	1
	aprtaba	0.333	1	1	0
ape-rsaba$$$p0$s205	apersaba	0.667	0	0	1
	aprsaba	0.333	1	1	0
ape-rnaba$$$p0$s206	apernaba	0.667	0	0	1
	aprnaba	0.333	1	1	0
ape-rlaba$$$p0$s207	aperlaba	0.667	0	0	1
	aprlaba	0.333	1	1	0
ape-rraba$$$p0$s208	aperraba	0.667	0	0	1
	aprraba	0.333	1	1	0
ape-rvaba$$$p0$s209	apervaba	0.667	0	0	1
	aprvaba	0.333	1	1	0
ape-vtaba$$$p0$s210	apevtaba	0.667	0	0	1
	apvtaba	0.333	1	1	0
ape-vsaba$$$p0$s211	apevsaba	0.667	0	0	1
	apvsaba	0.333	1	1	0
ape-vnaba$$$p0$s212	apevnaba	0.667	0	0	1
	apvnaba	0.333	1	1	0
ape-vlaba$$$p0$s213	apevlaba	0.667	0	0	1
	apvlaba	0.333	1	1	0
ape-vraba$$$p0$s214	apevraba	0.667	0	0	1
	apvraba	0.333	1	1	0
ape-vvaba$$$p0$s215	apevvaba	0.667	0	0	1
	apvvaba	0.333	1	1	0
ape-ttaba$$$p0$s216	apettaba	0.667	0	0	1
	apttaba	0.333	1	1	0
ape-tsaba$$$p0$s217	apetsaba	0.667	0	0	1
	aptsaba	0.333	1	1	0
ape-tnaba$$$p0$s218	apetnaba	0.667	0	0	1
	aptnaba	0.333	1	1	0
ape-tlaba$$$p0$s219	apetlaba	0.667	0	0	1
	aptlaba	0.333	1	1	0
ape-traba$$$p0$s220	apetraba	0.667	0	0	1
	aptraba	0.333	1	1	0
ape-tvaba$$$p0$s221	apetvaba	0.667	0	0	1
	aptvaba	0.333	1	1	0
ape-staba$$$p0$s222	apestaba	0.667	0	0	1
	apstaba	0.333	1	1	0
ape-ssaba$$$p0$s223	apessaba	0.667	0	0	1
	apssaba	0.333	1	1	0
ape-snaba$$$p0$s224	apesnaba	0.667	0	0	1
	apsnaba	0.333	1	1	0
ape-slaba$$$p0$s225	apeslaba	0.667	0	0	1
	apslaba	0.333	1	1	0
ape-sraba$$$p0$s226	apesraba	0.667	0	0	1
	apsraba	0.333	1	1	0
ape-svaba$$$p0$s227	apesvaba	0.667	0	0	1
	apsvaba	0.333	1	1	0
ape-ntaba$$$p0$s228	apentaba	0.667	0	0	1
	apntaba	0.333	1	1	0
ape-nsaba$$$p0$s229	apensaba	0.667	0	0	1
	apnsaba	0.333	1	1	0
ape-nnaba$$$p0$s230	apennaba	0.667	0	0	1
	apnnaba	0.333	1	1	0
ape-nlaba$$$p0$s231	apenlaba	0.667	0	0	1
	apnlaba	0.333	1	1	0
ape-nraba$$$p0$s232	apenraba	0.667	0	0	1
	apnraba	0.333	1	1	0
ape-nvaba$$$p0$s233	apenvaba	0.667	0	0	1
	apnvaba	0.333	1	1	0
ape-ltaba$$$p0$s234	apeltaba	0.667	0	0	1
	apltaba	0.333	1	1	0
ape-lsaba$$$p0$s235	apelsaba	0.667	0	0	1
	aplsaba	0.333	1	1	0
ape-lnaba$$$p0$s236	apelnaba	0.667	0	0	1
	aplnaba	0.333	1	1	0
ape-llaba$$$p0$s237	apellaba	0.667	0	0	1
	apllaba	0.333	1	1	0
ape-lraba$$$p0$s238	apelraba	0.667	0	0	1
	aplraba	0.333	1	1	0
ape-lvaba$$$p0$s239	apelvaba	0.667	0	0	1
	aplvaba	0.333	1	1	0
ape-rtaba$$$p0$s240	apertaba	0.667	0	0	1
	aprtaba	0.333	1	1	0
ape-rsaba$$$p0$s241	apersaba	0.667	0	0	1
	aprsaba	0.333	1	1	0
ape-rnaba$$$p0$s242	apernaba	0.667	0	0	1
	aprnaba	0.333	1	1	0
ape-rlaba$$$p0$s243	aperlaba	0.667	0	0	1
	aprlaba	0.333	1	1	0
ape-rraba$$$p0$s244	aperraba	0.667	0	0	1
	aprraba	0.333	1	1	0
ape-rvaba$$$p0$s245	apervaba	0.667	0	0	1
	aprvaba	0.333	1	1	0
ape-vtaba$$$p0$s246	apevtaba	0.667	0	0	1
